id_producto,stock
498,89.0
245,85.0
553,9.0
214,129.0
550,69.0
507,102.0
407,116.0
78,146.0
532,149.0
146,23.0
269,67.0
32,123.0
56,148.0
91,133.0
415,
77,69.0
3,142.0
480,117.0
189,24.0
120,73.0
132,100.0
149,22.0
50,106.0
56,88.0
478,66.0
111,19.0
159,38.0
594,99.0
202,131.0
404,54.0
164,53.0
265,
257,7.0
290,
133,117.0
332,44.0
454,123.0
354,76.0
317,146.0
319,115.0
358,89.0
40,13.0
87,45.0
339,
418,124.0
210,121.0
474,68.0
572,70.0
79,7.0
351,94.0
177,32.0
287,
11,
262,142.0
471,126.0
175,108.0
136,35.0
457,68.0
212,113.0
31,46.0
585,67.0
495,21.0
342,73.0
42,107.0
588,35.0
266,38.0
57,142.0
405,112.0
540,71.0
397,84.0
156,129.0
25,58.0
83,92.0
365,142.0
216,53.0
599,112.0
488,
71,113.0
364,
132,
282,72.0
61,97.0
406,102.0
413,82.0
211,78.0
600,130.0
166,29.0
248,
276,140.0
258,
291,57.0
458,36.0
30,67.0
193,17.0
102,140.0
305,46.0
229,19.0
279,81.0
299,75.0
275,82.0
205,47.0
430,65.0
453,137.0
596,
300,16.0
82,73.0
228,45.0
110,66.0
249,66.0
426,77.0
64,135.0
548,76.0
73,103.0
569,
285,146.0
119,37.0
590,15.0
292,72.0
381,53.0
213,147.0
141,10.0
389,98.0
323,98.0
219,19.0
463,148.0
512,104.0
336,110.0
7,146.0
105,130.0
115,26.0
534,26.0
185,51.0
239,68.0
517,129.0
437,67.0
341,68.0
424,48.0
303,38.0
564,
396,134.0
297,28.0
486,86.0
43,73.0
74,102.0
546,91.0
67,17.0
12,16.0
16,115.0
593,114.0
421,59.0
400,108.0
357,107.0
84,33.0
288,77.0
370,
80,34.0
24,95.0
584,24.0
311,33.0
589,149.0
197,
482,78.0
260,30.0
138,62.0
232,52.0
306,118.0
178,68.0
10,54.0
204,20.0
514,142.0
329,95.0
327,67.0
272,45.0
85,80.0
182,119.0
347,125.0
447,42.0
519,74.0
504,112.0
250,
179,54.0
221,20.0
154,65.0
76,140.0
93,134.0
500,124.0
69,44.0
16,64.0
200,129.0
574,47.0
89,5.0
527,124.0
118,141.0
425,26.0
451,61.0
34,74.0
1,16.0
205,102.0
209,72.0
382,70.0
579,11.0
523,104.0
278,
23,99.0
304,
117,22.0
90,72.0
183,40.0
251,106.0
261,23.0
19,76.0
335,50.0
355,11.0
145,6.0
312,24.0
313,43.0
